0,1,2,3,4
88,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phu-yen?keyword=DPY,Đại học Phú Yên,DPY,Phú Yên
89,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quang-binh?keyword=DQB,Đại Học Quảng Bình,DQB,Quảng Bình
90,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/hoc-vien-ki-thuat-quan-su-he-dan-su?keyword=DQH,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,DQH,Hà Nội
91,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi?keyword=DQK,Đại học Kinh doanh và Công nghệ Hà Nội,DQK,Hà Nội
92,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quy-nhon?keyword=DQN,Đại học Quy Nhơn,DQN,Bình Định
93,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quang-trung?keyword=DQT,Đại học Quang Trung,DQT,Bình Định
94,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-quang-nam?keyword=DQU,Đại học Quảng Nam,DQU,Quảng Nam
95,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-san-khau-dien-anh-tp-hcm?keyword=DSD,Đại học Sân khấu - Điện ảnh TP HCM,DSD,TP HCM
96,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-sai-gon?keyword=DSG,Đại học Công nghệ Sài Gòn,DSG,TP HCM
97,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang?keyword=DSK,Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,DSK,Đà Nẵng
98,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-phenikaa?keyword=DTA,Đại học Phenikaa,DTA,Hà Nội
99,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-thai-binh?keyword=DTB,Đại học Thái Bình,DTB,Thái Bình
100,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen?keyword=DTC,Đại học Công Nghệ Thông Tin và Truyền Thông - Đại học Thái Nguyên,DTC,Thái Nguyên
101,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-tay-do?keyword=DTD,Đại học Tây Đô,DTD,Cần Thơ
102,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-kinh-te-quan-tri-kinh-doanh-dai-hoc-thai-nguyen?keyword=DTE,Đại học Kinh Tế  & Quản Trị Kinh Doanh - Đại học Thái Nguyên,DTE,Thái Nguyên
103,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-ngoai-ngu-dai-hoc-thai-nguyen?keyword=DTF,Khoa Ngoại Ngữ - Đại học Thái Nguyên,DTF,Thái Nguyên
104,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen?keyword=DTK,Đại học Kỹ Thuật Công Nghiệp - Đại học Thái Nguyên,DTK,Thái Nguyên
105,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-thang-long?keyword=DTL,Đại học Thăng Long,DTL,Hà Nội
106,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-tai-nguyen-va-moi-truong-tp-hcm?keyword=DTM,Đại học Tài nguyên và Môi trường TP HCM,DTM,TP HCM
107,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-nong-lam-dai-hoc-thai-nguyen?keyword=DTN,Đại học Nông Lâm - Đại học Thái Nguyên,DTN,Thái Nguyên
108,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/phan-hieu-dai-hoc-thai-nguyen-tai-lao-cai?keyword=DTP,Phân hiệu Đại học Thái Nguyên tại Lào Cai,DTP,Lào Cai
109,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/khoa-quoc-te-dai-hoc-thai-nguyen?keyword=DTQ,Khoa Quốc Tế - Đại học Thái Nguyên,DTQ,Thái Nguyên
110,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/daihoc-su-pham-dai-hoc-thai-nguyen?keyword=DTS,Đại Học Sư Phạm - Đại học Thái Nguyên,DTS,Thái Nguyên
111,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-ton-duc-thang?keyword=DTT,Đại học Tôn Đức Thắng,DTT,TP HCM
112,https://vietnamnet.vn//giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2023/truong/dai-hoc-luong-the-vinh?keyword=DTV,Đại Học Lương Thế Vinh,DTV,Nam Định
